Category: All categories

Region,chink: (2015)
Maryland,100
Vermont,92
District of Columbia,87
Wyoming,84
New York,79
Arkansas,78
Massachusetts,77
Oklahoma,76
Tennessee,73
Montana,73
North Carolina,72
Georgia,68
New Jersey,68
Pennsylvania,66
Alaska,65
Kentucky,64
Illinois,64
South Carolina,63
Idaho,63
Michigan,63
Rhode Island,59
Louisiana,59
Ohio,59
Virginia,59
California,58
Mississippi,58
Colorado,57
Washington,55
New Mexico,55
North Dakota,55
Nevada,53
West Virginia,52
Florida,52
Missouri,51
Iowa,50
Texas,50
Connecticut,50
Utah,48
Alabama,46
New Hampshire,46
Hawaii,45
Delaware,43
Wisconsin,43
Indiana,42
Minnesota,41
Arizona,36
Oregon,36
Maine,36
Nebraska,34
South Dakota,32
Kansas,25
