Category: All categories

Month,chink: (California)
2013-01,34
2013-02,32
2013-03,35
2013-04,42
2013-05,36
2013-06,30
2013-07,37
2013-08,30
2013-09,17
2013-10,25
2013-11,37
2013-12,25
2014-01,29
2014-02,39
2014-03,32
2014-04,38
2014-05,27
2014-06,23
2014-07,44
2014-08,21
2014-09,21
2014-10,53
2014-11,34
2014-12,59
2015-01,84
2015-02,73
2015-03,100
2015-04,64
2015-05,84
2015-06,37
2015-07,31
2015-08,51
2015-09,41
2015-10,39
2015-11,54
2015-12,37
2016-01,43
2016-02,43
2016-03,48
2016-04,42
2016-05,35
2016-06,57
2016-07,62
2016-08,31
2016-09,50
2016-10,38
2016-11,47
2016-12,47
2017-01,45
2017-02,56
2017-03,46
2017-04,52
2017-05,54
2017-06,43
2017-07,47
2017-08,36
2017-09,37
2017-10,42
2017-11,50
2017-12,45
2018-01,34
2018-02,96
2018-03,56
2018-04,40
2018-05,43
2018-06,32
2018-07,44
2018-08,37
2018-09,42
2018-10,61
2018-11,33
2018-12,72
