Category: All categories

Region,fuck china: (2016)
Nebraska,100
Oklahoma,74
Alabama,73
Hawaii,69
Arkansas,60
Utah,59
Colorado,53
California,52
Tennessee,50
Connecticut,49
Idaho,47
Kansas,47
Wisconsin,45
New York,44
North Carolina,44
Nevada,43
Texas,43
Georgia,42
South Carolina,42
Missouri,42
New Jersey,41
Virginia,41
Maryland,38
Michigan,38
Minnesota,38
Kentucky,37
Massachusetts,37
Arizona,33
Washington,33
Illinois,32
Florida,30
Pennsylvania,28
Indiana,27
Louisiana,27
Iowa,25
Oregon,23
Ohio,10
Vermont,
Wyoming,
Alaska,
South Dakota,
Delaware,
West Virginia,
Rhode Island,
Maine,
Mississippi,
New Hampshire,
New Mexico,
District of Columbia,
Montana,
North Dakota,
